,url,job_title,company_name,number_employees,salary,job_details
0,https://www.linkedin.com/jobs/search/?currentJobId=3022863650&geoId=90009496&keywords=%22data%20engineer%22&location=London%20Area%2C%20United%20Kingdom&refresh=true,"Data Engineer, Global Procurement Technology","

              Amazon
            
","










10,001+ employees · Internet Publishing

",,"


 
Job Summary

DESCRIPTION

*Role can be based out of one of our EU locations- London, Madrid, Barcelona, Luxembourg, Amsterdam, Milan, etc.*

Are you a talented and inventive engineer with a strong passion about modern data technologies and interested to improve business processes, extracting value from the data?

The Global Procurement Technology, as a part of Global Procurement Operations, is looking for an experienced Data Engineer to help build its future data ecosystem. You will be a member of the Data Engineering and ML Team, joining a fast-growing global organization, with a great vision to transform the Procurement field, and become the role model in the market. This team plays a strategic role supporting the core Procurement business domains as well as it is the cornerstone of any transformation and innovation initiative. Our mission is to provide a high-quality data-rich environment to facilitate process optimization and business digitalization, on a global scale. We are supporting business initiatives, including but not limited to, strategic supplier sourcing (e.g. contracting, negotiation, spend analysis, market research, etc.), order management, supplier performance, etc.

We are seeking an individual who can thrive in a fast-paced work environment, be collaborative and share knowledge and experience with their colleagues. In Amazon, you will find all the resources available to learn new skills and develop your career. You will connect with world leaders in your field and you will be tackling Data Engineering challenges to ensure business continuity, by taking the right decisions for your customers.

Key job responsibilities

As a Data Engineer In The Team, You Will
design, develop and enhance data systems and pipelines, supporting process optimization in reporting, planning, and analyticsintegrate in-house data services with partners' systemsdrive the development of data warehousing solutions, using various technologies and toolshave strong analytical skills and excel in the design, creation, management, and enterprise use of large data sets, combining raw data from different sourcesbe responsible for the design and implementation of scalable extract, transform, and load (ETL) processes to support the rapidly growing and dynamic demand for data; deliver data as a service, which will have an immediate influence on day-to-day business decision makingprepare operational data to automate data integrity and activity monitoringcooperate with different groups of stakeholders, like engineers, scientists, product/program managers, etc. to evaluate business needs and objectives, and provide the best data management environmentbe the person-to-go for data solutions, while striving for efficiency by aligning data systems with business goals

Basic Qualifications
Bachelor’s Degree in Computer Science/Engineering, Informatics, or a related technical discipline4+ years of industry experience in data engineering, data science, business intelligence or related fieldVery good knowledge of data management fundamentals (i.e. profiling, storage, processing, access, etc.)Demonstrated strength in data modelling, ETL development, and data warehousing/lakes designExperience architecting data solutions with AWS products including Big Data Technologies (Redshift, RDS, DynamoDB, Lambda, SNS/SQS, S3, Glue, Athena, EMR, etc.) and/or Microsoft Database Software Stack (SQL Server/SSIS)Advanced SQL coding and query performance tuning skillsExperience building data products incrementally, integrating and managing large data sets from multiple sources3+ year of demonstrated coding experience with modern programming or scripting languages (Python, Scala, Java, etc.)
Preferred Qualifications
Master’s Degree in Data Engineering, Applied Data Science, Data and Web Science, or related certificationKnowledge of systems engineering to optimize integration of data service/software solutions with data infrastructureProven track record of applying data engineering for enabling business analytics (Procurement, Operations, Finance, etc.)Experience utilizing business intelligence reporting tools (AWS QuickSight, Power BI, Tableau, etc.)Experience mentoring other engineersGood knowledge of software/data development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations
Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates.


Company - Amazon EU SARL (UK Branch)

Job ID: A1991471
 
"
1,https://www.linkedin.com/jobs/search/?currentJobId=3021459133&geoId=90009496&keywords=%22data%20engineer%22&location=London%20Area%2C%20United%20Kingdom&refresh=true,Big Data Engineer,"

              ASOS.com
            
","










1,001-5,000 employees · Internet Publishing

",,"


 
              ASOS Technology is going through an exciting period of transition and major investment. – this includes a number of strategic programmes to deliver the amazing technology and business solutions to support our ambitious global growth plans. At the heart of these plans is the rebuilding of our digital platforms and channels to provide the best shopping experience for our customers. Our plan is designed to enable us to really put our mobile experience first, enable personalisation and support a data driven organisation. We are also making significant investments in all our Buying, Merchandising, Finance and People systems with the latest toolsets and applications to accelerate the next phase of our global growth. We are also improving our ways of working within Technology to enable autonomous platform development and improve our engineering and agile practices.

ASOS is the UK’s number one fashion and beauty destination, expanding globally at a rapid pace. Our values are to be authentic, brave and creative, and we live and breathe these in everything we do. Our award-winning Tech teams sit at the heart of our business.

We deliver technical innovations and pioneer incredible solutions to keep our 20-something market engaged, the cloud-based architecture to support our global reach and the agile engineering methods to deliver value fast. We’re extremely ambitious and thrive on the individuality of our amazing employees. Our values encompass everything needed for our tech people to be the thought leaders of tomorrow, and our roles offer a flexible blend of remote and in-office working.

 

Big Data engineers in the AI & Data Science (DS) platform are software/data engineers who specialise in big data, and its associated preparation, processing and provision for use by Data and Machine Learning Scientists.

What You'll Be Doing
Ensuring that data pipelines are scalable, repeatable, and secure, and can reliably provide the quality and throughput of data required for complex machine learning workloads using extremely large datasets Working as part of an enthusiastic and motivated development team comprised of software engineers, scientists, platform engineers and analysts, to ensure the technical requirements of our numerous stakeholders are met in the most efficient way.  Delivering high-quality software which is future proof, scalable and in-keeping with ASOS standards.  Using the latest tech, such as Azure Data Factory, Azure Databricks, Spark, Event Hub + Azure Stream Analytics. Research and experiment with emerging data technologies and industry trends with a view to bringing business value through early adoption Joining our regular Tech Develops days to learn new things, take part in internal and external hackathons, share your knowledge and help to drive improvements in engineering.  Continually develop and improve our code and technology, whilst playing an active role in the conception of brand-new features for our millions of global customers.  
 

Key Skills And Experience
Strong understanding of Big Data core concepts and technologies Cloud experience (Azure/AWS/Google) Comprehensive programming knowledge, with an understanding of OOP principles and cloud engineering practices Skills in Java, Scala, Python, R (one or more) Azure Data Factory Azure Databricks Experience in building real time/batch data, high throughput processing infrastructure Knowledge of RDBMS, ETL and Data Warehouse Technologies Fully-automated provisioning and application deployment pipelines Exposure to CI/CD tools like Azure DevOps, Ansible, TeamCity, Jenkins, Octopus Infrastructure automation using a scripting language like bash or powershell Configuration management Experience in delivering services that are highly-available, low-latency and scalable 
Nice To Have
Deep exposure to Microsoft Azure Exposure to a microservices architecture Cassandra, MongoDB or equivalent NoSQL databases Knowledge of advanced analytics and insights techniques (e.g. predictive analytics, machine learning, segmentation) Knowledge of deep learning frameworks like TensorFlow, Keras Knowledge of machine learning libraries like MLLIB, sklearn Experience in retail and/or e-commerce
 
"
2,https://www.linkedin.com/jobs/search/?currentJobId=3016147207&geoId=90009496&keywords=%22data%20engineer%22&location=London%20Area%2C%20United%20Kingdom&refresh=true,Data Engineer,"

              Arch Insurance (UK) Limited
            
","










201-500 employees · Insurance

",,"


 
The Position 

Strategic Analytics is a growing team at Arch. The team develops innovative predictive models and analytical tools to improve profitability and growth. Data plays a critical role in this mission. To be successful, we need to create best-in-class datasets from internal and external sources leveraging a diverse set of tools. This includes the following cutting edge technologies in the cloud; Snowflake, Spark, Python, R and Azure Data Factory.

As a Data Engineer, you will play a crucial role in developing complex data structures and pipelines. You will work closely with business leaders on high-profile analytics projects that drive the company’s decision-making and strategy. As a key member of the Strategic Analytics data engineering team, you will advance our data capabilities helping the team analyze data better and faster.

 Job Responsibilities
 Work effectively with data scientists to understand and solve business problems by developing the best-suited data structures for analysis. Continuously build on data engineering learnings and help develop best practices to make Strategic Analytics more effective in future projects. Anticipate data scientists needs and proactively design intuitive data structures. Build close partnerships with peers across the organization to support data-related goals. Discover and explore new technologies and data sources with curiosity and creativity. Use technology to automate data ingestion and identify solutions to link external and internal data. Manage requirements and documentation throughout the data asset development lifecycle. Provides thought leadership and direction in the development and delivery of analytical solutions. Opportunity to direct others depending on prior work experience.
 Technical Skills

 Required Skills/Experience 
 Ability to design, build and implement data pipelines and data structures. Solid understanding of cloud data warehousing concepts and data manipulation skills for analytics. Proven experience with SQL. Python coding is an advantage.
 Non-Technical Skills
 Ability to operate independently – managing tasks and engaging people across the team. Exceptional teamwork skills required to play a key role in cross-functional teams. Ability to collaborate and build trusting relationships and communicate effectively to target audiences. Natural curiosity to understand the world around you and question as needed. Resilient problem solving and critical thinking skills.
 Desired Skills/Experience
 Experience in data transformation and building data structures, a significant portion of which should be in the insurance industry. Experience working in data engineering role within the London Market is an advantage. Familiarity with cloud-based platforms such as Databricks, Snowflake and Azure is beneficial.
 Education 
 Degree in Computer Science, Engineering, Statistics, Mathematics, Actuarial Science, Data Analytics, or equivalent.
 The Company

Arch Insurance is a global insurer offering our clients superior coverage and service. We embody the Arch guiding principle of focusing on retaining experienced and talented employees to differentiate us from the rest of the pack. Our group operates from offices in the US, Canada, Bermuda, UK, Australia and South Africa, providing specialty risk solutions to clients worldwide across a wide range of industries. With over ten years of operating history and strong financial ratings, our track record remains solid.

Arch Insurance employs a disciplined underwriting approach and prudent risk selection across all types of business. Our mission is to provide our insureds with superb coverage and claims handling through careful and diligent underwriting of risks and business-friendly solutions. Across our global operations, Arch Insurance employees are ready to meet your needs with professionalism and excellence.

Arch Europe Insurance Services Ltd
 
"
3,https://www.linkedin.com/jobs/search/?currentJobId=3018723018&geoId=90009496&keywords=%22data%20engineer%22&location=London%20Area%2C%20United%20Kingdom&refresh=true,Data Engineer,"

              StoneX Group Inc.
            
","










1,001-5,000 employees · Financial Services

",,"


 
Location: London, United Kingdom

Salary: Competitive

Closing Date: Monday 25 April 2022

Job purpose

It’s a very exciting time to join the team as we are starting to enhance our capabilities and, whoever will join, will be able to see the whole journey and grow internally.

This position will be to support and enhance the current Data Engineering and Data Science capabilities of the Data & Analytics team which serves the whole company providing data-driven applications and data integration support.

The Data Engineer will be part of the Data Science and Engineering team and directly involved in the development and maintenance of the tech stack and all the data pipelines feeding the ML applications.

General Duties
Manage the data pipeline that is feeding reporting and ML models (tech stack based on Python/Airflow, Dremio)Use Python (main libraries such as pandas, Pyodbc, sqlalchemy, airflow etc) to develop custom connection and data feeds through 3rd party APIsUse SQL scripting to manipulate and extract data from large relational databases & automate the process for importing data from multiple sources and various file formats. (Flat files / ODBC / OLDB etc).Interface with Data science team in order to enable Machine Learning projects / capabilities (make right data available)Deal confidently with different data sources and data modelsBeing a key player to support the data project roadmap spanning all stages of the data value chain: from data architecture to data engineering, data processing and model design

Knowledge And Experience
Bachelor’s degree in a quantitative field (math, statistics, comp. science, engineering, economics, etc.). Master’s degree a plusExperience in working with DevOps tools such as Bitbucket, Git, JIRAGood knowledge of Database fundamentals and data normalisation conceptsObject oriented programming and software engineering basics (e.g. UML concepts, documentation)Good-level experience of SQL Server programming/scripting experienceExperience in programming DAG (Direct Acyclic Graphs) in Airflow is a plusPrevious experience in programming with python or similar languagesAttention to detail and data driven analytical & problem-solving skillsAbility to manage and prioritize own workload and escalate potential risk to the line manager
 
"
4,https://www.linkedin.com/jobs/search/?currentJobId=3032942843&geoId=90009496&keywords=%22data%20engineer%22&location=London%20Area%2C%20United%20Kingdom&refresh=true,Data Engineer,"

              Remote Worker
            
","










1-10 employees · Staffing and Recruiting

",,"


 
              Data Engineer – £50,000- £60,000– RemoteThe RoleAre you looking to develop your career in Data Engineering? If so, we have an exciting new challenge for you.We are cyber security experts, looking to appoint a Data Engineer to be responsible for aiding UK Health in developing a cleaned, validated, and discoverable data foundation to enable new analytical workflows and applications.You will need to If you are considering sending an application, make sure to hit the apply button below after reading through the entire description.Please click on the apply button to read the full job description
 
"
5,https://www.linkedin.com/jobs/search/?currentJobId=3022865039&geoId=90009496&keywords=%22data%20engineer%22&location=London%20Area%2C%20United%20Kingdom&refresh=true,"Data Engineer, Data Technology and Products (DTP)","

              Amazon
            
","










10,001+ employees · Internet Publishing

",,"


 
Job Summary

DESCRIPTION

The Data Technology and Products team (DTP) - a part of the Amazon Transportation Services in Europe (ATS) - is looking for a motivated, experienced and skilled Data Engineer to strengthen our team. We are offering a place for people to succeed, grow and have fun.

ATS ships several millions of packages every year to customer across Europe on time. Our team owns and continuously innovates the data engine behind the successful European operations, providing the data backbone in traditional batch fashion and using real time technologies. We want to provide you the opportunity to be part of this team and help us developing the next big ""thing"".

If you are interested to understand the scope and complexity of the business you could support, please check out our YouTube video - https://www.youtube.com/watch?v=en5YqrtBGvY

Key job responsibilities

The candidate we are looking for is a person who is taking on the responsibilities to:
support or drive the development of data solutions together with our stakeholderdrive innovation as part of our teamcontinuously learn and utilize new technologies

Basic Qualifications
degree in Computer Science, Engineering, Mathematics, or a related field and 2+ years industry experience in software/BI/data engineering related areashands-on proficient in SQLhands-on experience in creating at least small software solutions with an object-oriented language (e.g. Python,Java)previous experience in building and supporting ETL or ELT processesknowledge of data modelling principlesproven ability to collaborate to deliver solutions
Preferred Qualifications
Masters in Computer Science, Engineering, Mathematics, or a related field and 3+ years industry experience in software/BI/data engineering related areasproven success in communicating with business users, other technical teams, and senior management.proficient in SQL including optimizationknowledge of and expertise in applying data modellingknowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations.experience in working with AWS or similar tech stacks
Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates.


Company - Amazon UK Services Ltd.

Job ID: A1980920
 
"
6,https://www.linkedin.com/jobs/search/?currentJobId=2996124576&geoId=90009496&keywords=%22data%20engineer%22&location=London%20Area%2C%20United%20Kingdom&refresh=true,Data Engineer,"

              CWT
            
","










10,001+ employees · Travel Arrangements

",,"


 
CWT is one of the world's leading digital travel management companies and as a Business-to-Business-for-Employees (B2B4E) travel management platform, companies and governments rely on us to keep their people connected – anywhere, anytime, anyhow – and across six continents, we provide their employees with innovative technology and an efficient, safe and secure travel experience.
Our Technology division was formed to lead on our CWT 3.0 digital transformation strategy. With a team of highly skilled and experienced individuals, they deliver and manage efficient, quality, and innovative travel technology solutions and technology services for CWT and its customers worldwide
Position Overview
Our Technology team is seeking for a Data Engineer to join our Data Science team at CWT. The Data Engineer will evolve the design and development of data and machine learning products to support business strategies, as well as ensuring that our data and machine learning services are scalable, reliable and robust.
The Data Engineer will work closely with other data and machine learning engineers, as well as product owners and other teams within CWT to deliver solutions and insights for the business.
Position Description
Daily Responsibilities
Build pipelines for data cleansing, transformation and aggregation to deliver business- and client-facing insights and reports.Develop AWS serverless solutions for data services within CWT.Work closely with Data Scientists/Machine Learning Engineers to build feature engineering, machine learning training and deployment pipelines.Develop and manage new data source ingestion pipelines when they are occasionally required.Rotational responsibility to monitoring production pipelines and AWS EMR clusters owned by the team.
Qualifications
Position Requirements
Key Skillset And Qualifications
Degree in computer science, information technology, engineering or equivalentAt least 2 years of experience in Scala/Python programmingComfortable working with Linux and bash scriptingFamiliarity with distributed systemsFamiliarity with data structures and algorithms
Desired Skillset
Experience with AWSFamiliarity with Apache SparkExperience in machine learning or data engineeringFamiliarity with SQL Exposure to Terraform
CWT is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, disability, age, or veteran status.
 
"
7,https://www.linkedin.com/jobs/search/?currentJobId=3026878877&geoId=90009496&keywords=%22data%20engineer%22&location=London%20Area%2C%20United%20Kingdom&refresh=true,Data Engineer - Marketing,"

              Bally's Interactive
            
","










1,001-5,000 employees · Gambling Facilities and Casinos

",,"


 
              Bally’s Interactive is the digital arm of one of the world’s leading entertainment providers, Bally’s Corporation, with tens of millions of players across the globe and big plans always in the works. Our brands and sites include market movers and shakers like SportsCaller, Monkey Knife Fight, Vera&John, Virgin Casino, Jackpotjoy and many more. We make our mark by embracing the diversity of our global team, challenging ourselves, and striving to make a difference for our players.

The Role

The AdTech space is an exciting and fast-growing area that is built on data and there are huge opportunities for us to explore and improve within Gamesys. As a Data Engineer in the AdTech team you play a key part in helping to shape and build a platform that empowers our Marketing teams worldwide to make the best decisions.

We are looking for a hands-on engineer with a passion for data and its applications to join our small cross-functional agile team, while being part of a larger Data team which drive multiple areas in the business. 

With our AdTech Platform being built primarily on the Google Cloud Platform, it means that you will have exposure to various cloud technologies including Big Query, batch and streaming pipeline technologies and various integrations with 3rd party data platforms within the MarTech world and beyond.

We are looking for a person who:
Develops quality code that is well tested, maintainable and meets the requirements of our users. Works closely with stakeholders, adopting an iterative approach to developing solutions and isn’t afraid to try and fail. Is interested in what the data can show us and is keen to understand the business context around the data. Understands the importance of data integrity and works towards ensuring that our users are making decisions off accurate data. Continues to grow and learn, while teaching those around them about new technologies, processes and approaches they believe are valuable. Isn’t afraid to ask questions or share their ideas and actively contribute to the shaping of the platform to service not only current user needs but the wider business strategy. Communicates effectively and frequently with the team and with relevant stakeholders. Has a high level of attention to detail and can objectively review their own work as well as peer review other team member’s code. Contribute towards the self-organisation of the team through Agile/Scrum ceremonies and continual improvements to the way the team works. Enjoys a friendly and open environment where innovation and creativity are encouraged. Produces clear and concise documentation. 

Competencies and experience required:
2+ years of relevant experience Proficient with SQL Experience with BigQuery Proficient with Python Experience with building and maintaining data pipelines. Experience with CI/CD & Automated testing practices. Experience with Process Orchestration e.g. Airflow, Control-M etc… Experience with Docker Has worked in a team that adhered to agile principles. Has demonstrated self-motivation/pro-activeness on a previous role. 

Desirable:
Public cloud experience in either GCP or AWS Experience with Java Unix shell scripting (or alternative) experience. Experience with DevOps/DataOps or understanding of modern infrastructure Experience or demonstrable interest in analytics and/or machine learning. Experience with streaming technologies e.g. Kafka Experience developing services that expose RESTful APIs as well as client services that interact with RESTful APIs Experience with BI tools e.g., PowerBI, Tableau etc... Experience with Monitoring and Alerting solutions Experience with different types of databases e.g. Db2 and/or MongoDb 

What's in it for You:
Competitive salary with annual performance bonus5% pension contribution for 4% personal contributionComprehensive private medical insuranceMonthly wellness program25 days holiday Access to exciting educational opportunities (internal, conferences, courses, certifications)Need something for your home office? Whether it’s a new mouse, desk or chair, we’re here to support you with a productive and safe home working spaceRemote friendly environment giving you flexibility to work from home and office

We also believe in providing an environment where employees can flourish – you’ll be working in a very modern work environment – and we will make sure you will also have enough time to unwind with our monthly office events and team-building activities.
 
"
8,https://www.linkedin.com/jobs/search/?currentJobId=3014585902&geoId=90009496&keywords=%22data%20engineer%22&location=London%20Area%2C%20United%20Kingdom&refresh=true,Data Engineer,"

              Dufrain
            
","










51-200 employees · IT Services and IT Consulting

",,"




      Posted by
    









              Peter Campbell
 


            Talent Acquisition Specialist at Dufrain
          
 







        Send InMail






Data Engineer London- - Hybrid 
What is a Data Engineer?Dufrain consider a data engineer to be a multi-skilled individual with experience in delivering solutions across the technical data landscape. Our data engineers have expertise in technical delivery, technologies and concepts in areas such as Data Storage, Data Ingestion, Data Integration, Data Warehousing, Data Preparation and Cloud Infrastructure.
A suitable candidate will also have a wider understanding of how their role and delivery contributes to wider business outcomes and be able to concisely articulate to stakeholders and interested parties their role and solutions in a way that can be easily understood.
Essential Requirements:
Skilled in SQL and PythonStrong experience developing and deploying solutions in Azure, AWS, or GCPMinimum 2 years’ experience as a Data Engineer with previous experience in industryFlexibility to travel to and work on client sites within the UK.Take ownership and accountability for critical initiatives and deliverables in line with design patterns and standards [MH1]Stakeholder management and interpersonal skills with business and technical focussed colleagues.Technically competent and curious, with a passion to explore and an attitude to learn new toolsExperience working with one or more of - Spark, Hadoop, Kafka, SnowflakeExperience working with relational SQL and NoSQL databases both on premises and in the cloudExperience delivering multiple solutions using key techniques such as Data Modelling, ETL / ELT, Data Lakes, Data Warehousing and BIA solid understanding of key processes in the engineering delivery cycle including Agile, DevOps, Git, and Data Pipelines.[MH1]Designing own processes in line with design patterns and standards?
Key Skills:• Takes ownership and accountability for mission critical initiatives and deliverables both internally and for clients• A proven leader of people having significant influence on the careers and aspirations of those working in proximity• Awareness of current market trends in data having the ability to influence opinion and decisioning across the Data Management spectrum

#LifeAtDufrain #GetBusyLivingWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
 
"
9,https://www.linkedin.com/jobs/search/?currentJobId=2988890963&geoId=90009496&keywords=%22data%20engineer%22&location=London%20Area%2C%20United%20Kingdom&refresh=true,Data Engineer/Analyst,"

              Unbiased
            
","










11-50 employees · Internet Publishing

",,"


 
About Unbiased
We have big ambitions to improve how people tackle their biggest financial decisions, and working at Unbiased means working with intelligent, motivated people who believe in this. We have a fun, hardworking environment in which we are simply trusted to get stuff done.
The RoleAs Unbiased grows, we have recognised that our data capability will be key in accelerating growth.
We need the ability to improve the business through fast paced data based decision making and to spend more time analysing data than generating reports. Success in your role will be defined by the business having rich data available to drive business performance and decision making.
Over the past year we have built a best in class data stack comprising Google Big Query, Fivetran, DBT and Looker. The business is now able to benefit from near real time data and reporting across both our B2B and B2C domains. We are looking to build on this success to extend the data that we have in the Data Warehouse into other sources, segment our B2B customers measure engagement and many more projects.
The Data Engineer/Analyst is the Technical expert driving forward the capabilities of what can be achieved by our data platform customers. The Data engineer is responsible for the ELT (Fivetran, DBT), data warehouse (GBQ) and the underlying technical complexities of our BI tool (the Looker ‘model’). An ability to dip into the BI and reporting side of the data team work is also needed enabling the team to flex across skill sets to best support our customers. You will report into the CTO but work closely and collaboratively with the Data Analyst that makes up the other half of the Data team.
If you are looking for an environment where you will have the opportunity to have autonomy in your role and not be micromanaged then Unbiased is the place for you!
To succeed, you will ideally have…
4 plus years of relevant experience in a data engineering role or working within database engineering/warehousing, business intelligence or business analytics.Exposure to various datasets and engineering data pipelines from different sources and formatsExperience with Google Cloud Platform (GCP) or Amazon Web Services (AWS) ecosystem and hands-on knowledge working with cloud related technologiesDemonstrated strength in data modelling, ETL development, and Data warehousingDeep hands-on knowledge in using advanced SQL queries, experience in writing and optimizing efficient SQL queriesExperience in BI projects converting business needs to data warehousing and reporting solutionsExperience maintaining a Data Warehouse Tech stackHands on experience of creating reports and dashboards
How we’ll take care of you:
Competitive SalaryBrilliant Pension Contributions: We go above and beyond when it comes to helping you to save for your future.Investment in your Development: Alongside in-house training, you’ll be allocated £1,000 a year to invest in your career developmentInvestment in your Wellbeing: Your wellbeing is a top priority for us, and you’ll be able to benefit from fully paid subscription to Calm, our favourite Wellbeing AppSocial Events: We’re a social bunch (lockdown’s permitting…) so you can expect plenty of activities based in and around our vibrant office in the heart of Clerkenwell.
The Usual Benefits:
Holiday: you’ll be allocated plenty of holiday to ensure that you have enough time to recharge, work-life balance is super important to us hereFlexible working: we’ll work with you to find the balance of office-based work and remote workingCycle to work schemeSeason ticket loanLife and Critical Illness insurance
Equal Opportunity 
The best ideas are often the least expected and require new ways of thinking; that’s why our teams at Unbiased are made up of broad range of talented people. We are proud to be an equal opportunity employer. We do not discriminate based on race, ethnicity, colour, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran status, genetic information, marital status or any other legally protected status.
Data Privacy
Personal information about unsuccessful candidates will be held for 12 months after the recruitment exercise has been completed, it will then be destroyed or deleted. We retain de-personalised statistical information about applicants to help inform our recruitment activities, but no individuals are identifiable from that data.
Once a person has taken up employment with Unbiased, we will compile a file relating to their employment. The information contained in this will be kept secure and will only be used for purposes directly relevant to that person’s employment. Once their employment with Unbiased has ended, we will retain the file in accordance with the requirements of our retention schedule and then delete it.
Agencies
 As much as we appreciate the help, we’re using our own direct sourcing methods or we’re working with one of our carefully selected Agency Partners on this vacancy. To find out a little more about how we partner with agencies please email talent@unbiased.co.uk FAO our Talent Manager, speculative phone calls will not be taken by our team neither will CV submissions without Unbiased or the candidates expressed consent.
 
"
